"","ï..ID","Response","Group","X1","X2","X3","X4","X5","X6","X7","Y1","Y2","Y3","Y4","Y5","Y6","Y7"
"33",33,0,0,39,39,39,40.58,4.94,1.1,271.7,1,0,0,0,0,0,0
"34",34,0,0,25,25,25,79.01,19.2,3.5,467.2,0,0,0,1,1,1,0
"35",35,0,1,6,18,24,93.51,11.32,4.9,745.1,0,0,0,1,0,2,1
"36",36,0,1,8,0,128,40.62,6.21,2.7,175.6,0,0,0,0,0,1,0
"37",37,0,0,8,126,352,64.65,12.48,5,3959.6,0,0,0,0,1,2,1
"38",38,0,1,6,18,24,51.2,6.38,3.9,702.3,0,0,0,0,0,2,1
"39",39,0,1,41,369,656,79.81,30.64,3.7,1166.4,1,1,1,1,1,2,1
"40",40,0,1,11,33,44,61.44,11.39,3.1,460.5,0,0,0,0,0,1,0
"41",41,0,1,51,459,816,52.59,25.15,2.6,365.6,1,1,1,0,0,1,0
"42",42,0,1,9,27,36,61.42,9.98,3.8,705,0,0,0,0,0,2,1
"43",43,0,1,16,0,0,97.62,21.48,3,1061.6,0,0,0,1,0,1,1
"44",44,0,1,17,153,272,81.22,19.11,3.2,355.4,0,0,1,1,0,1,0
"45",45,0,1,17,0,0,47.95,12.01,3.7,239,0,0,0,0,0,2,0
"46",46,0,1,6,18,24,77.05,9.45,3.5,198.6,0,0,0,1,0,1,0
"47",47,0,1,31,93,124,61.91,21.66,4.1,508.9,0,0,0,0,0,2,1
"48",48,0,1,5,0,816,49.87,5.45,3.6,1147.3,0,0,1,0,0,2,1
"49",49,0,1,11,12,48,80.74,14.58,4.5,1450.6,0,0,0,1,0,2,1
"50",50,0,1,22,198,352,66.68,18.86,2.7,162.6,0,0,1,0,0,1,0
"51",51,0,1,13,369,800,92.82,18.23,4.9,318.4,0,0,0,1,0,2,1
"52",52,0,1,24,2421,880,74.58,21.77,3.9,608.7,0,0,0,1,0,2,1
"53",53,0,1,27,243,432,59.71,19.4,4.2,951.6,0,0,1,0,0,2,1
"54",54,0,1,16,48,64,42.46,10.32,3,152.9,0,0,0,0,0,1,0
"55",55,0,1,744,4752,16192,49.04,68.96,5,2228.4,1,1,1,0,1,2,1
"56",56,0,0,11,0,0,41.56,4.84,3.7,161.9,0,0,0,0,0,2,0
"57",57,0,1,8,24,32,21.82,3.35,3.3,503.2,0,0,0,0,0,1,1
"58",58,0,1,12,93,188,41.78,8.4,4.4,380.3,0,0,0,0,0,2,0
"59",59,0,1,16,15,64,44.23,10.72,3.3,197.1,0,0,0,0,0,1,0
"60",60,0,0,41,0,0,81.15,21.34,3,636.2,1,0,0,1,1,1,1
"61",61,0,1,174,900,2096,49.68,43.74,3.1,464.4,1,1,1,0,1,1,0
"62",62,0,1,70,459,0,56.45,31.32,2.7,203.8,1,1,1,0,1,1,0
"63",63,0,1,96,297,132,106.1,52.55,2.9,346.5,1,1,1,1,1,1,0
"64",64,0,1,29,0,13,25.64,9.52,3.5,515.5,0,0,1,0,0,1,1
"65",65,0,0,60,60,60,58.79,11.43,2.7,221.2,1,0,0,0,1,0,0
"66",66,0,1,22,25,116,57.94,16.72,3.3,592.1,0,0,0,0,0,1,1
"67",67,0,0,10,81,47,35.59,3.38,3.3,184.1,0,0,0,0,0,1,0
"68",68,0,1,17,0,24,59.94,14.69,3.8,1104.1,0,0,1,0,0,2,1
"69",69,0,1,3100,27900,49600,65.62,89.53,6.4,1707.4,1,1,1,0,1,2,1
"70",70,0,0,11,141,160,40.68,4.61,3.4,448,0,0,0,0,0,1,0
"71",71,0,1,21,108,0,49.89,14.24,3.3,419.2,0,0,0,0,0,1,0
"72",72,0,1,55,495,880,38.66,20.5,3.5,318.4,1,1,1,0,0,1,0
"73",73,0,1,13,279,32,49.2,10.33,2.4,298,0,0,0,0,0,1,0
"74",74,0,0,28,62,136,49.74,7.63,3.5,987.9,0,0,0,0,0,2,1
"75",75,0,1,25,69,800,43.31,14.01,2.8,391,0,0,1,0,0,1,0
"76",76,0,0,23,63,100,47.27,6.74,3.9,240.9,0,0,0,0,0,2,0
"77",77,0,0,9,0,140,38.78,4.08,3.8,277.5,0,0,0,0,0,2,0
"78",78,0,1,12,108,192,83.97,15.93,3.1,551,0,0,0,1,0,1,1
"79",79,0,0,435,1305,1740,50.17,9.1,3.5,5833.5,1,1,1,0,0,1,1
"80",80,0,1,19,63,712,47.05,12.68,2.9,431.7,0,0,1,0,0,1,0
"81",81,0,1,824,8073,18304,120.4,85.9,6.3,3648.4,1,1,1,1,1,2,1
"82",82,0,1,72,0,320,90.81,43.28,3.4,1382.6,1,0,1,1,1,1,1
"83",83,0,1,12,0,0,111.6,20.3,2.9,346.6,0,0,0,1,0,1,0
"84",84,0,0,12,12,12,36.79,3.68,3.2,307.7,0,0,0,0,0,1,0
"85",85,0,0,17,81,252,38.01,4.05,3,216.1,0,0,0,0,0,1,0
"86",86,0,1,22,69,44,77.75,21.42,3,382.9,0,0,0,1,0,1,0
"87",87,0,1,15,567,475,70.47,15.68,4,773.7,0,0,0,1,0,2,1
"88",88,0,0,24,30,44,47,6.68,3.9,922.2,0,0,0,0,0,2,1
"89",89,0,1,20,180,320,52.58,14.48,2.8,315.1,0,0,1,0,0,1,0
"90",90,0,0,18,7,8,30.81,2.51,3.3,374.7,0,0,0,0,0,1,0
"91",91,0,1,10,30,40,83.65,14.18,3.9,244.8,0,0,0,1,0,2,0
"92",92,0,1,18,2421,104,106.1,24.54,4,543.6,0,0,0,1,0,2,1
"93",93,0,0,8,24,32,30.87,2.4,3.8,316.1,0,0,0,0,0,2,0
"94",94,0,0,19,7,0,41.67,5.03,3.2,273.4,0,0,0,0,0,1,0
"95",95,0,1,22,198,352,59.96,17.22,3.5,3079.2,0,0,1,0,0,1,1
"96",96,0,1,1145,10305,18320,65.74,80.51,4.9,1733.3,1,1,1,0,1,2,1
"97",97,0,0,8,8,8,61.43,11.21,2.7,455.9,0,0,0,0,0,1,0
"98",98,0,1,2911,26199,46576,137.8,94.64,4.5,1381.4,1,1,1,1,1,2,1
"99",99,0,1,10,0,1632,51.99,9.15,3.8,296.6,0,0,0,0,0,2,0
"100",100,0,1,99,297,396,70.17,42.42,3.1,447.8,1,1,1,1,1,1,0
"101",101,0,1,7,63,112,140.1,17.86,4.4,597.3,0,0,0,1,0,2,1
"102",102,0,0,13,189,25,178.2,62.15,2.9,938.1,0,0,0,1,1,1,1
"103",103,0,0,21,63,84,61.3,11.78,3.9,500,0,0,0,0,1,2,0
"104",104,0,1,31,93,124,102.8,31.9,3.7,1189.8,0,0,0,1,1,2,1
"105",105,0,1,47,141,188,49.06,22.74,3.2,393.4,1,0,0,0,0,1,0
"106",106,0,1,15,135,240,81.79,17.84,3.3,259.9,0,0,0,1,0,1,0
"107",107,0,1,14,460,284,110,21.93,3.4,373.2,0,0,0,1,0,1,0
"108",108,0,0,13,39,52,38.59,4.13,3,446.3,0,0,0,0,0,1,0
"109",109,0,1,33,153,432,58.97,21.58,3.6,768.8,0,0,1,0,0,2,1
"110",110,0,0,12,141,39,41.74,4.91,2.4,110.3,0,0,0,0,0,1,0
"111",111,0,0,32,105,72,65.23,13.71,4.6,685.5,0,0,0,0,1,2,1
"112",112,0,0,231,243,432,42.42,6.07,2.7,210.5,1,0,0,0,0,1,0
"113",113,0,1,97,873,1552,85.77,47.21,4.5,576.9,1,1,1,1,1,2,1
"114",114,0,1,977,9793,15632,85.05,82.78,4.9,2856,1,1,1,1,1,2,1
"115",115,0,0,9,0,0,44.05,5.45,4,585.8,0,0,0,0,0,2,1
"116",116,0,0,33,747,132,50.34,7.91,6.8,1540.8,0,0,0,0,0,2,1
"117",117,0,1,16,144,256,37.27,9.13,3.6,238,0,0,1,0,0,2,0
"118",118,0,1,63,495,816,66.76,33.45,3.8,1195.5,1,0,0,0,1,2,1
"119",119,0,1,24,216,384,83.13,23.75,3.1,256.3,0,0,1,1,0,1,0
"120",120,0,1,20,33,31,71.51,18.9,2.9,638.3,0,0,1,1,0,1,1
"121",121,0,0,15,45,60,38.36,4.12,3.3,132.9,0,0,0,0,0,1,0
"122",122,0,1,18,396,31,83.9,20.3,2.8,1367.6,0,0,0,1,0,1,1
"123",123,0,1,7,0,432,40.93,5.7,3.2,388.9,0,0,1,0,0,1,0
"124",124,0,1,14,126,224,42.32,9.42,4.4,419.1,0,0,0,0,0,2,0
"125",125,0,1,791,7119,12656,89.62,81.31,4.8,4825.5,1,1,1,1,1,2,1
"126",126,0,1,7,63,112,78.73,10.67,3,368.5,0,0,0,1,0,1,0
"127",127,0,1,334,4752,462,152.3,80.07,4,1853.7,1,1,1,1,1,1,1
"128",128,0,1,12,36,48,72.14,13.93,4.4,709.9,0,0,0,1,0,2,1
"129",129,0,1,75,69,48,66.16,36.13,4.2,727.2,1,0,0,0,1,2,1
"130",130,0,1,33,297,528,64.22,23.12,3.7,378.9,0,1,1,0,0,2,0
"131",131,0,1,14,459,36,71.51,15.22,2.1,417,0,0,0,1,0,0,0
"132",132,0,1,13,27,32,38.21,8.13,2.3,115.7,0,0,0,0,0,1,0
"133",133,0,1,12,108,192,91.91,17.23,3.4,351.8,0,0,0,1,0,1,0
"134",134,0,1,22,0,132,57.8,16.69,4.2,327.6,0,0,1,0,0,2,0
"135",135,0,0,134,134,134,36.99,4.31,3.1,332.4,1,0,0,0,0,0,0
"136",136,0,1,136,0,320,63.84,45.73,3.6,653.5,1,1,1,0,1,2,1
"137",137,0,0,20,20,20,34.84,3.35,3.3,374.7,0,0,0,0,0,1,0
"138",138,0,0,10,30,40,65.67,13.05,3.4,720.4,0,0,0,0,1,1,1
"139",139,0,0,7,0,0,29.33,2.11,3.2,482.3,0,0,0,0,0,1,0
"140",140,0,1,15,15,24,87.37,18.87,3.1,238,0,0,0,1,0,1,1
"141",141,0,1,57,171,228,61.1,29.87,3,294.1,1,0,0,0,0,1,0
"142",142,0,0,13,13,13,38.06,90.14,3.4,366.7,0,0,0,0,1,1,0
"143",143,0,0,57,57,62,88.64,98.29,4.1,763.2,1,0,0,1,1,2,1
"144",144,0,0,7,7,136,36.32,3.46,2.9,221.2,0,0,0,0,0,1,0
"145",145,0,1,475,4527,816,97.07,12.93,3.3,1147.3,0,0,0,1,0,1,0
"146",146,0,1,33,99,132,90.79,30.12,3.8,1436.4,0,0,0,1,1,2,1
"147",147,0,1,125,3609,0,149.1,65.68,4.3,2037.6,1,1,1,1,1,2,1
"148",148,0,1,12,108,192,41.07,8.26,2.4,347.8,0,0,0,0,0,1,0
"149",149,0,1,62,20,464,54.93,0.45,3.5,606,0,0,1,0,0,2,1
"150",150,0,1,21,297,40,53.1,15.05,3.2,179,0,0,1,0,0,1,0
"151",151,0,0,29,30,252,46.3,6.53,2.1,114.5,0,0,0,0,0,1,0
"152",152,0,0,59,108,0,38.27,8.31,2.3,114.5,0,0,0,0,0,0,0
"153",153,0,0,12,87,25,32.81,2.83,3.5,210.5,0,0,0,0,0,1,0
"154",154,0,1,23,297,1360,112.2,29.2,3.2,489.3,0,0,0,1,0,1,0
"155",155,1,1,209,279,7216,223.9,0.81,4.7,464.4,1,0,0,1,0,2,1
"156",156,1,1,102,306,408,87.71,0.49,4.9,1316.1,1,1,1,1,0,2,1
"157",157,1,0,62,62,62,193.5,68.78,4.7,1336.6,1,0,0,1,1,2,1
"158",158,1,1,44,396,704,87.59,33.89,3.2,209.7,1,1,1,1,1,1,0
"159",159,1,1,54,0,0,118.7,0.45,2.9,282.2,1,0,0,1,0,1,0
"160",160,1,1,528,4752,8448,138.2,83.55,7.5,1707.4,1,1,1,1,1,2,1
"161",161,1,1,16,918,462,44.08,0.11,3.6,373.4,0,0,0,0,0,2,0
"162",162,1,0,9743,29229,38972,1017,99.37,3.4,8401,1,1,1,1,1,1,1
"163",163,1,1,4638,41742,74208,108.7,0.95,3.1,642.1,1,1,1,1,0,1,1
"164",164,1,1,269,2421,4304,809,95.12,4,8303.4,1,1,1,1,1,2,1
"165",165,1,1,12,93,24,347,89.53,3.1,969.4,1,1,1,1,1,1,1
"166",166,1,0,55,55,55,52.04,8.76,4,1584.8,1,0,0,0,0,2,1
"167",167,1,0,257,771,0,255.8,82.39,3.3,2667.2,1,1,1,1,1,1,1
"168",168,1,1,412,7767,6592,262.2,89.18,2.8,3847.9,1,1,1,1,1,1,1
"169",169,1,0,1016,3048,4064,293.8,87.64,5,1818.9,1,1,1,1,1,2,1
"170",170,1,1,401,3609,6416,98.13,74.41,2.9,657,1,1,1,1,1,1,1
"171",171,1,1,63,567,1008,67.96,33.86,3.7,585.7,1,1,1,0,1,2,1
"172",172,1,0,10,0,0,50.88,7.56,4.5,384.2,0,0,0,0,0,2,0
"173",173,1,1,35,105,140,127.5,39.04,2.8,965.6,1,0,0,1,1,1,1
"174",174,1,1,185,69,0,786.9,93.5,4.9,7529.9,1,1,1,1,1,2,1
"175",175,1,0,1033,2970,188,521,96.52,2.8,1037.6,1,0,0,1,1,1,1
"176",176,1,1,176,438,528,448.1,88.53,3.7,2166.6,1,1,1,1,1,2,1
"177",177,1,1,233,0,0,78.21,60.68,3.2,436.6,1,0,0,1,1,1,0
"178",178,1,0,1747,18027,18320,744.6,98.53,6,2470.2,1,1,0,1,1,2,1
"179",179,1,1,79,279,6416,75.11,40.13,4,3114.4,1,0,1,1,1,2,1
"180",180,1,1,79,0,224,63.42,35.99,4,3114.4,1,1,1,0,1,2,1
"181",181,1,0,1052,3369,12656,235.5,80.76,4.6,3648.4,1,1,1,1,1,2,1
"182",182,1,1,12,450,112,85.42,16.17,7.5,987,0,0,0,1,0,2,1
"183",183,1,1,2291,20619,36656,404.8,97.85,3.6,6496.2,1,1,1,1,1,2,1
"184",184,1,0,34,102,136,36.92,3.95,3.2,695.2,0,0,0,0,0,1,1
"185",185,1,1,21,189,336,60.16,16.79,3.6,606,0,0,1,0,0,2,1
"186",186,1,1,503,4527,8048,365.6,93.09,3.2,1164.5,1,1,1,1,1,1,1
"187",187,1,1,34,0,112,142.9,41.38,3.3,375.8,0,0,0,1,1,1,0
"188",188,1,0,116,348,464,65.07,14.62,7.5,4766.8,1,1,1,0,1,2,1
"189",189,1,1,102,918,1632,154.7,63.15,4,653,1,1,1,1,1,2,1
"190",190,1,1,755,4752,3868,144.4,87.35,4.7,5920.8,1,1,1,1,1,2,1
"191",191,1,0,63,189,252,126.7,44.59,3.4,1969.5,1,0,1,1,1,1,1
"192",192,1,0,189,0,0,156.1,58.62,6.6,7329.9,1,0,0,1,1,2,1
"193",193,1,0,967,2901,3868,1775,99.8,6.9,8388.8,1,1,1,1,1,2,1
"194",194,1,1,39,900,308,37.62,16.31,5,2246,1,1,1,0,0,2,1
"195",195,1,1,60,0,0,59.02,29.9,5.8,654.6,1,0,0,0,1,2,1
"196",196,1,1,218,108,32,1731,97.37,3.7,5700.7,1,1,1,1,1,2,1
"197",197,1,1,2003,18027,32048,237.2,95.94,4,2127.8,1,1,1,1,1,2,1
"198",198,1,0,155,57,712,158.9,59.34,4.4,1385.5,1,0,0,1,1,2,1
"199",199,1,1,222,4059,704,198.2,79.67,3.6,2473.8,1,1,1,1,1,2,1
"200",200,1,1,31,0,0,589.5,74.23,6.1,759.3,0,0,0,1,1,2,1
"201",201,1,0,119,356,475,50.54,8.59,4.5,718.4,1,1,1,0,0,2,1
"202",202,1,1,131,1179,2096,470,86.73,4.9,2386.4,1,1,1,1,1,2,1
"203",203,1,1,50,450,800,242.8,61.91,3.3,1893.1,1,1,1,1,1,1,1
"204",204,1,1,93,279,372,549.4,85.68,3.5,270.4,1,1,1,1,1,1,0
"205",205,1,1,1012,9108,16192,436.9,96.44,4.6,2429.2,1,1,1,1,1,2,1
"206",206,1,1,8991,80919,143856,1201,99.74,7.2,5920.8,1,1,1,1,1,2,1
"207",207,1,1,7,69,8448,64.93,8.9,7.1,1512,0,0,1,0,0,2,1
"208",208,1,1,1377,12393,22032,132.9,90.77,4.3,4797,1,1,1,1,1,2,1
"209",209,1,0,268,0,1200,72.22,18.78,4.2,954.8,1,1,1,1,1,2,1
"210",210,1,1,251,54,188,186.2,80.07,1,2603,1,1,1,1,1,0,1
"211",211,1,1,16,231,6416,608.9,64.74,6.2,898.7,0,0,1,1,1,2,1
"212",212,1,1,100,297,136,2734,97.1,3.5,2351.2,1,1,1,1,1,1,1
"213",213,1,1,60,7767,704,111.9,45.35,4,1763.9,1,1,0,1,1,2,1
"214",214,1,0,226,0,0,733.7,98.28,3.7,876.4,1,0,0,1,1,2,1
"215",215,1,1,5709,51381,91344,1472,99.72,7.1,6858.1,1,1,1,1,1,2,1
"216",216,1,1,462,10305,1200,6864,99.63,9.7,8401,1,1,0,1,1,2,1
"217",217,1,1,23,69,92,83.16,23.2,4.1,392,0,0,0,1,0,2,0
"218",218,1,1,16,0,2096,58.31,13.8,5.3,2037.6,0,0,1,0,0,2,1
"219",219,1,1,890,8010,14240,6295,99.74,4.8,7999.8,1,1,1,1,1,2,1
"220",220,1,1,146,438,584,101.5,58.97,4.3,682.7,1,1,1,1,1,2,1
"221",221,1,1,20,180,320,65.05,17.44,4.5,220.8,0,0,1,0,0,2,0
"222",222,1,1,275,825,1100,1289,96.98,4.6,1818.9,1,1,1,1,1,2,1
"223",223,1,0,324,531,3960,133.6,50.29,3.8,372.7,1,1,1,1,1,2,0
"224",224,1,1,139,495,308,98.63,5.37,4,1741.8,1,1,1,1,0,2,1
"225",225,1,1,85,0,0,193,65.37,3.3,314.2,1,0,0,1,1,1,0
"226",226,1,1,300,900,1200,686.1,94.67,3.1,2428.5,1,1,1,1,1,1,1
"227",227,1,1,199,65,8752,155.8,73.79,5,5939.3,1,1,1,1,1,2,1
"228",228,1,1,2658,23922,42528,219,96.4,7.4,4416.3,1,1,1,1,1,2,1
"229",229,1,0,33,62,62,90.69,25.86,4.1,514.6,0,0,0,1,1,2,1
"230",230,1,1,16,0,0,36.56,8.97,4.3,378.1,0,0,0,0,0,2,0
"231",231,1,1,462,825,462,969.9,97.22,3,3959.6,1,1,1,1,1,1,1
"232",232,1,1,322,2970,6416,1187,97.07,4.9,8205.5,1,1,1,1,1,2,1
"233",233,1,1,9,27,36,50.84,8.35,4.4,1086.6,0,0,0,0,0,2,1
"234",234,1,1,24,141,63,1871,88.81,4.8,824.8,0,0,0,1,1,2,1
"235",235,1,1,232,65,0,727.8,93.99,3.9,2428.5,1,1,1,1,1,2,1
"236",236,1,0,268,396,63,92.65,29.2,4.6,683.8,1,0,0,1,1,2,1
"237",237,1,1,454,2901,4492,1292,97.89,7,8491.1,1,1,1,1,1,2,1
"238",238,1,1,897,8073,14372,738.6,97.72,4.7,1034.9,1,1,1,1,1,2,1
"239",239,1,1,547,4923,8752,742.1,96.77,6.4,4416.3,1,1,1,1,1,2,1
"240",240,1,1,77,231,308,100.4,47.08,6.3,756.9,1,0,1,1,1,2,1
"241",241,1,1,1144,10296,18304,123.2,88.81,3.9,3585.9,1,1,1,1,1,2,1
"242",242,1,1,56,3609,396,248.7,64.42,4.2,4299.1,1,1,1,1,1,2,1
"243",243,1,1,547,8010,1100,826.1,97.1,4,2102.7,1,1,0,1,1,2,1
"244",244,1,1,997,9793,3868,780.5,97.1,3.7,5786.8,1,1,0,1,1,2,1
"245",245,1,1,259,3609,124,191.7,80.9,2.9,3836,1,1,1,1,1,1,1
"246",246,1,1,59,531,944,61.75,30.64,3.7,1494.1,1,1,1,0,1,2,1
"247",247,1,1,101,303,404,54.55,36.53,3.1,619.1,1,1,1,0,1,2,1
"248",248,1,0,129,153,108,254.8,81.62,3.5,783.7,1,0,0,1,1,1,1
"249",249,1,1,71,825,7216,61.17,33.37,4.3,197.1,1,0,1,0,1,1,0
"250",250,1,0,48,0,0,32.49,3.01,3.6,1054.2,1,0,0,0,0,2,1
"251",251,1,1,475,825,0,513.7,94.85,3,3959.6,1,1,1,1,1,1,1
"252",252,1,1,206,495,1632,212.9,79.2,3.5,613.5,1,1,1,1,1,1,1
"253",253,1,1,1264,18027,8448,3556,99.65,4.4,2943.5,1,1,0,1,1,2,1
"254",254,1,0,95,285,380,56.21,10.66,4.7,4659.8,1,1,1,0,0,2,1
"255",255,1,1,81,0,0,109.7,0.5,4,1640.7,1,0,0,1,0,2,1
"256",256,1,0,55,165,220,44.17,6.1,3.3,452.3,1,0,0,0,0,1,0
"257",257,1,1,27,243,432,136.5,36.25,4.1,613.9,0,0,1,1,1,2,1
"258",258,1,0,6,45,0,60.2,10.57,3.4,297.9,0,0,0,0,0,1,0
"259",259,1,0,18,54,72,82.41,21.1,3.5,470.1,0,0,0,1,1,1,0
"260",260,1,1,104,4059,8752,104.4,53.66,4.9,3161.9,1,1,1,1,1,2,1
"261",261,1,1,31,279,496,107.3,32.88,3.7,683.8,0,1,1,1,1,2,1
"262",262,1,0,990,2970,3960,113.9,42.6,2.1,1649,1,1,1,1,1,1,1
"263",263,1,1,85,765,1360,99.9,48.76,3.7,3702.6,1,1,1,1,1,2,1
"264",264,1,1,12,18,224,75.11,14.44,3,797.3,0,0,1,1,0,1,1
"265",265,1,0,33,20,0,50.22,7.87,3.5,418.9,0,0,0,0,0,1,0
"266",266,1,0,9,9,9,59.94,10.73,2.7,209.8,0,0,0,0,0,1,0
"267",267,1,1,44,396,704,66.15,27.68,4,585.7,1,1,1,0,0,2,1
"268",268,1,0,603,65,228,134.6,51.71,3.7,1063.9,1,1,1,1,1,2,1
"269",269,1,1,528,4752,8448,120,81.43,4,817.6,1,1,1,1,1,2,1
"270",270,1,1,528,4752,8448,120,81.43,4,817.6,1,1,1,1,1,2,1
"271",271,1,1,11,297,44,59.99,11.14,2.7,299.1,0,0,0,0,0,1,0
"272",272,1,1,11,297,432,61.56,11.41,2.7,299.1,0,0,0,0,0,1,0
"273",273,1,1,23,279,8448,98.18,26.41,7.3,2954.6,0,0,1,1,0,2,1
"274",274,1,0,32,0,0,55.87,9.9,3.9,294,0,0,0,0,0,2,0
"275",275,1,1,1009,9793,18304,218.1,92.91,4.7,2531.7,1,1,1,1,1,2,1
"276",276,1,0,29,87,116,53.18,8.85,2.7,174.6,0,0,0,0,0,1,0
"277",277,1,1,125,0,528,47.1,36.6,3.6,619.3,1,1,1,0,1,2,1
"278",278,1,1,36,0,115,63.19,23.96,3.7,389.3,1,1,1,0,0,2,0
"279",279,1,0,12,35,47,38.55,4.09,2.6,196.5,0,0,0,0,0,1,0
"280",280,1,0,24,72,96,39.95,4.63,3.4,437.1,0,0,0,0,0,1,0
"281",281,1,0,24,153,52,42.77,5.41,2.9,396.8,0,0,0,0,0,1,0
"282",282,1,1,25,75,100,240,49.15,3,669.6,0,0,0,1,1,1,1
"283",283,1,1,206,45,62,69.37,55.45,1,3237.7,1,1,1,0,1,0,1
"284",284,1,0,189,567,756,90.53,27.92,4.3,1644.7,1,1,1,1,1,2,1
"285",285,1,1,15,531,92,54.2,12.4,3.3,305.8,0,0,0,0,0,1,0
"286",286,1,0,31,39,25,38.66,4.37,0.9,423.5,0,0,0,0,0,0,0
"287",287,1,1,1116,10044,17856,412.1,96.47,3.8,1797.8,1,1,1,1,1,2,1
"288",288,1,0,27,81,108,35.49,3.56,2,121.6,0,0,0,0,0,1,0
"289",289,1,0,26,78,104,53.94,9.07,4.5,200.2,0,0,0,0,0,2,0
"290",290,1,0,74,243,13,45.43,6.61,4.9,653.8,1,0,0,0,0,2,1
"291",291,1,0,51,918,192,66.25,14.51,4.3,389.8,1,0,0,0,1,2,0
"292",292,1,1,431,2901,8752,394.2,92.87,4.6,5700.7,1,1,1,1,1,2,1
"293",293,1,1,7,65,115,95.18,12.93,7.3,765.6,0,0,0,1,0,2,1
"294",294,1,0,249,747,3984,108.5,37.75,3.2,488.9,1,1,1,1,1,1,0
"295",295,1,1,139,4752,308,39.19,34.01,4,243.1,1,1,1,0,1,2,1
"296",296,1,0,31,31,31,46.37,6.58,2.7,354.6,0,0,0,0,0,1,0
